TABLE_NAME,KEY_COLUMNS
ACTIVITY_STATUS,(null)
ANTIMICROBIAL,"ANTIMICROBIAL_GRP_KEY, ANTIMICROBIAL_KEY"
ANTIMICROBIAL_GROUP,ANTIMICROBIAL_GRP_KEY
BMIRD_CASE,"ADT_HSPTL_KEY, ANTIMICROBIAL_GRP_KEY, BMIRD_MULTI_VAL_GRP_KEY, CONDITION_KEY, DAYCARE_FACILITY_KEY, GEOCODING_LOCATION_KEY, INV_ASSIGNED_DT_KEY, INVESTIGATION_KEY, INVESTIGATOR_KEY, LDF_GROUP_KEY, NURSING_HOME_KEY, PATIENT_KEY, PHYSICIAN_KEY, REPORTER_KEY, RPT_SRC_ORG_KEY, TREATMENT_HOSPITAL_KEY"
BMIRD_MULTI_VALUE_FIELD,"BMIRD_MULTI_VAL_FIELD_KEY, BMIRD_MULTI_VAL_GRP_KEY"
BMIRD_MULTI_VALUE_FIELD_GROUP,BMIRD_MULTI_VAL_GRP_KEY
CASE_COUNT,"ADT_HSPTL_KEY, CONDITION_KEY, DIAGNOSIS_DT_KEY, GEOCODING_LOCATION_KEY, INV_ASSIGNED_DT_KEY, INV_RPT_DT_KEY, INV_START_DT_KEY, INVESTIGATION_KEY, INVESTIGATOR_KEY, PATIENT_KEY, PHYSICIAN_KEY, REPORTER_KEY, RPT_SRC_ORG_KEY"
CASE_LAB_DATAMART,INVESTIGATION_KEY
CODE_VAL_GENERAL,CODE_KEY
CODESET,(null)
CONDITION,CONDITION_KEY
CONFIRMATION_METHOD,CONFIRMATION_METHOD_KEY
CONFIRMATION_METHOD_GROUP,"CONFIRMATION_METHOD_KEY, INVESTIGATION_KEY"
COVID_VACCINATION_DATAMART,COVID_VACCINATION_DATAMART_KEY
CRS_CASE,"ADT_HSPTL_KEY, CONDITION_KEY, GEOCODING_LOCATION_KEY, INV_ASSIGNED_DT_KEY, INVESTIGATION_KEY, INVESTIGATOR_KEY, LDF_GROUP_KEY, PATIENT_KEY, PHYSICIAN_KEY, REPORTER_KEY, RPT_SRC_ORG_KEY"
D_ADDL_RISK_GROUP,D_ADDL_RISK_GROUP_KEY
D_CASE_MANAGEMENT,"D_CASE_MANAGEMENT_KEY, INVESTIGATION_KEY"
D_CONTACT_RECORD,D_CONTACT_RECORD_KEY
D_DISEASE_SITE_GROUP,D_DISEASE_SITE_GROUP_KEY
D_GT_12_REAS_GROUP,D_GT_12_REAS_GROUP_KEY
D_HC_PROV_TY_3_GROUP,D_HC_PROV_TY_3_GROUP_KEY
D_INTERVIEW,D_INTERVIEW_KEY
D_MOVE_CNTRY_GROUP,D_MOVE_CNTRY_GROUP_KEY
D_MOVE_CNTY_GROUP,D_MOVE_CNTY_GROUP_KEY
D_MOVE_STATE_GROUP,D_MOVE_STATE_GROUP_KEY
D_MOVED_WHERE_GROUP,D_MOVED_WHERE_GROUP_KEY
D_OUT_OF_CNTRY_GROUP,D_OUT_OF_CNTRY_GROUP_KEY
D_PCR_SOURCE_GROUP,D_PCR_SOURCE_GROUP_KEY
D_RASH_LOC_GEN_GROUP,D_RASH_LOC_GEN_GROUP_KEY
D_SMR_EXAM_TY_GROUP,D_SMR_EXAM_TY_GROUP_KEY
DATA_VALIDATION,(null)
DATA_VALIDATION_MESSAGE,(null)
DATAMART_REFRESH_ACTIVITY_LOG,(null)
DM_INV_GENERIC_V2,INVESTIGATION_KEY
F_CONTACT_RECORD_CASE,"CONTACT_EXPOSURE_SITE_KEY, CONTACT_INTERVIEW_KEY, CONTACT_INVESTIGATION_KEY, CONTACT_INVESTIGATOR_KEY, CONTACT_KEY, D_CONTACT_RECORD_KEY, DISPOSITIONED_BY_KEY, SUBJECT_INVESTIGATION_KEY, SUBJECT_KEY, THIRD_PARTY_ENTITY_KEY, THIRD_PARTY_INVESTIGATION_KEY"
F_INTERVIEW_CASE,"D_INTERVIEW_KEY, INTERPRETER_KEY, INTERVENTION_SITE_KEY, INVESTIGATION_KEY, IX_INTERVIEWEE_KEY, IX_INTERVIEWER_KEY, NURSE_KEY, PATIENT_KEY, PHYSICIAN_KEY, PROXY_KEY"
F_PAGE_CASE,"ADD_DATE_KEY, CONDITION_KEY, D_INV_ADMINISTRATIVE_KEY, D_INV_CLINICAL_KEY, D_INV_COMPLICATION_KEY, D_INV_CONTACT_KEY, D_INV_DEATH_KEY, D_INV_EPIDEMIOLOGY_KEY, D_INV_HIV_KEY, D_INV_ISOLATE_TRACKING_KEY, D_INV_LAB_FINDING_KEY, D_INV_MEDICAL_HISTORY_KEY, D_INV_MOTHER_KEY, D_INV_OTHER_KEY, D_INV_PATIENT_OBS_KEY, D_INV_PLACE_REPEAT_KEY, D_INV_PREGNANCY_BIRTH_KEY, D_INV_RESIDENCY_KEY, D_INV_RISK_FACTOR_KEY, D_INV_SOCIAL_HISTORY_KEY, D_INV_SYMPTOM_KEY, D_INV_TRAVEL_KEY, D_INV_TREATMENT_KEY, D_INV_UNDER_CONDITION_KEY, D_INV_VACCINATION_KEY, D_INVESTIGATION_REPEAT_KEY, GEOCODING_LOCATION_KEY, HOSPITAL_KEY, INVESTIGATION_KEY, INVESTIGATOR_KEY, LAST_CHG_DATE_KEY, ORG_AS_REPORTER_KEY, PATIENT_KEY, PERSON_AS_REPORTER_KEY, PHYSICIAN_KEY"
F_STD_PAGE_CASE,"ADD_DATE_KEY, CLOSED_BY_KEY, CONDITION_KEY, D_INV_ADMINISTRATIVE_KEY, D_INV_CLINICAL_KEY, D_INV_COMPLICATION_KEY, D_INV_CONTACT_KEY, D_INV_DEATH_KEY, D_INV_EPIDEMIOLOGY_KEY, D_INV_HIV_KEY, D_INV_ISOLATE_TRACKING_KEY, D_INV_LAB_FINDING_KEY, D_INV_MEDICAL_HISTORY_KEY, D_INV_MOTHER_KEY, D_INV_OTHER_KEY, D_INV_PATIENT_OBS_KEY, D_INV_PLACE_REPEAT_KEY, D_INV_PREGNANCY_BIRTH_KEY, D_INV_RESIDENCY_KEY, D_INV_RISK_FACTOR_KEY, D_INV_SOCIAL_HISTORY_KEY, D_INV_SYMPTOM_KEY, D_INV_TRAVEL_KEY, D_INV_TREATMENT_KEY, D_INV_UNDER_CONDITION_KEY, D_INV_VACCINATION_KEY, D_INVESTIGATION_REPEAT_KEY, DELIVERING_HOSP_KEY, DELIVERING_MD_KEY, DISPOSITIONED_BY_KEY, FACILITY_FLD_FOLLOW_UP_KEY, GEOCODING_LOCATION_KEY, HOSPITAL_KEY, INIT_ASGNED_FLD_FOLLOW_UP_KEY, INIT_ASGNED_INTERVIEWER_KEY, INIT_FOLLOW_UP_INVSTGTR_KEY, INTERVIEWER_ASSIGNED_KEY, INVESTIGATION_KEY, INVESTIGATOR_KEY, INVSTGTR_FLD_FOLLOW_UP_KEY, LAST_CHG_DATE_KEY, MOTHER_OB_GYN_KEY, ORDERING_FACILITY_KEY, ORG_AS_REPORTER_KEY, PATIENT_KEY, PEDIATRICIAN_KEY, PERSON_AS_REPORTER_KEY, PHYSICIAN_KEY, PROVIDER_FLD_FOLLOW_UP_KEY, SUPRVSR_OF_CASE_ASSGNMENT_KEY, SUPRVSR_OF_FLD_FOLLOW_UP_KEY, SURVEILLANCE_INVESTIGATOR_KEY"
F_TB_PAM,"ADD_DATE_KEY, D_ADDL_RISK_GROUP_KEY, D_DISEASE_SITE_GROUP_KEY, D_GT_12_REAS_GROUP_KEY, D_HC_PROV_TY_3_GROUP_KEY, D_MOVE_CNTRY_GROUP_KEY, D_MOVE_CNTY_GROUP_KEY, D_MOVE_STATE_GROUP_KEY, D_MOVED_WHERE_GROUP_KEY, D_OUT_OF_CNTRY_GROUP_KEY, D_SMR_EXAM_TY_GROUP_KEY, D_TB_PAM_KEY, HOSPITAL_KEY, INVESTIGATION_KEY, LAST_CHG_DATE_KEY, ORG_AS_REPORTER_KEY, PERSON_AS_REPORTER_KEY, PERSON_KEY, PHYSICIAN_KEY, PROVIDER_KEY"
F_VACCINATION,"D_VACCINATION_KEY, D_VACCINATION_REPEAT_KEY, INVESTIGATION_KEY, PATIENT_KEY, VACCINE_GIVEN_BY_KEY, VACCINE_GIVEN_BY_ORG_KEY"
F_VAR_PAM,"ADD_DATE_KEY, D_PCR_SOURCE_GROUP_KEY, D_RASH_LOC_GEN_GROUP_KEY, D_VAR_PAM_KEY, HOSPITAL_KEY, INVESTIGATION_KEY, LAST_CHG_DATE_KEY, ORG_AS_REPORTER_KEY, PERSON_AS_REPORTER_KEY, PERSON_KEY, PHYSICIAN_KEY, PROVIDER_KEY"
GENERIC_CASE,"ADT_HSPTL_KEY, CONDITION_KEY, GEOCODING_LOCATION_KEY, INV_ASSIGNED_DT_KEY, INVESTIGATION_KEY, INVESTIGATOR_KEY, LDF_GROUP_KEY, PATIENT_KEY, PHYSICIAN_KEY, REPORTER_KEY, RPT_SRC_ORG_KEY"
HEP_MULTI_VALUE_FIELD,"HEP_MULTI_VAL_DATA_KEY, HEP_MULTI_VAL_GRP_KEY"
HEP_MULTI_VALUE_FIELD_GROUP,HEP_MULTI_VAL_GRP_KEY
HEPATITIS_CASE,"ADT_HSPTL_KEY, CONDITION_KEY, GEOCODING_LOCATION_KEY, HEP_A_KEYENT_IN_CHILDCARE_IND, HEP_MULTI_VAL_GRP_KEY, INV_ASSIGNED_DT_KEY, INVESTIGATION_KEY, INVESTIGATOR_KEY, LDF_GROUP_KEY, PATIENT_KEY, PHYSICIAN_KEY, REPORTER_KEY, RPT_SRC_ORG_KEY"
INV_HIV,"D_INV_HIV_KEY, INVESTIGATION_KEY"
INV_SUMM_DATAMART,"INVESTIGATION_KEY, PATIENT_KEY"
job_batch_log,(null)
job_flow_log,(null)
L_INV_PLACE_REPEAT,D_INV_PLACE_REPEAT_KEY
LAB_RESULT_CONDITION,"CONDITION_KEY, LAB_RESULT_GRP_KEY"
LAB_RESULT_GROUP,LAB_RESULT_GRP_KEY
LDF_BMIRD,"INVESTIGATION_KEY, PATIENT_KEY"
LDF_DATA,"LDF_DATA_KEY, LDF_GROUP_KEY"
LDF_GENERIC,"INVESTIGATION_KEY, PATIENT_KEY"
LDF_GENERIC1,"INVESTIGATION_KEY, PATIENT_KEY"
LDF_GENERIC2,"INVESTIGATION_KEY, PATIENT_KEY"
LDF_HEPATITIS,"INVESTIGATION_KEY, PATIENT_KEY"
LDF_MUMPS,"INVESTIGATION_KEY, PATIENT_KEY"
LDF_TETANUS,"INVESTIGATION_KEY, PATIENT_KEY"
LDF_VACCINE_PREVENT_DISEASES,"INVESTIGATION_KEY, PATIENT_KEY"
MEASLES_CASE,"ADT_HSPTL_KEY, CONDITION_KEY, GEOCODING_LOCATION_KEY, INV_ASSIGNED_DT_KEY, INV_RPT_DT_KEY, INVESTIGATION_KEY, INVESTIGATOR_KEY, LDF_GROUP_KEY, PATIENT_KEY, PHYSICIAN_KEY, REPORTER_KEY, RPT_SRC_ORG_KEY"
MORBIDITY_REPORT_EVENT,"CONDITION_KEY, HEALTH_CARE_KEY, HSPTL_DISCHARGE_DT_KEY, HSPTL_KEY, ILLNESS_ONSET_DT_KEY, INVESTIGATION_KEY, LDF_GROUP_KEY, MORB_RPT_CREATE_DT_KEY, MORB_RPT_DT_KEY, MORB_RPT_KEY, MORB_RPT_SRC_ORG_KEY, NURSING_HOME_KEY, PATIENT_KEY, PHYSICIAN_KEY, REPORTER_KEY"
NOTIFICATION,NOTIFICATION_KEY
NOTIFICATION_EVENT,"CONDITION_KEY, INVESTIGATION_KEY, NOTIFICATION_KEY, NOTIFICATION_SENT_DT_KEY, NOTIFICATION_SUBMIT_DT_KEY, NOTIFICATION_UPD_DT_KEY, PATIENT_KEY"
ORGANIZATION_LDF_GROUP,"LDF_GROUP_KEY, ORGANIZATION_KEY"
PATIENT_LDF_GROUP,"LDF_GROUP_KEY, PATIENT_KEY"
PERTUSSIS_CASE,"ADT_HSPTL_KEY, CONDITION_KEY, GEOCODING_LOCATION_KEY, INV_ASSIGNED_DT_KEY, INVESTIGATION_KEY, INVESTIGATOR_KEY, LDF_GROUP_KEY, PATIENT_KEY, PERTUSSIS_SUSPECT_SRC_GRP_KEY, PERTUSSIS_TREATMENT_GRP_KEY, PHYSICIAN_KEY, REPORTER_KEY, RPT_SRC_ORG_KEY"
PERTUSSIS_SUSPECTED_SOURCE_FLD,"PERTUSSIS_SUSPECT_SRC_FLD_KEY, PERTUSSIS_SUSPECT_SRC_GRP_KEY"
PERTUSSIS_SUSPECTED_SOURCE_GRP,PERTUSSIS_SUSPECT_SRC_GRP_KEY
PERTUSSIS_TREATMENT_FIELD,"PERTUSSIS_TREATMENT_FLD_KEY, PERTUSSIS_TREATMENT_GRP_KEY"
PERTUSSIS_TREATMENT_GROUP,PERTUSSIS_TREATMENT_GRP_KEY
PROVIDER_LDF_GROUP,"LDF_GROUP_KEY, PROVIDER_KEY"
RDB_DATE,DATE_KEY
RUBELLA_CASE,"ADT_HSPTL_KEY, CONDITION_KEY, GEOCODING_LOCATION_KEY, INV_ASSIGNED_DT_KEY, INVESTIGATION_KEY, INVESTIGATOR_KEY, LDF_GROUP_KEY, PATIENT_KEY, PHYSICIAN_KEY, REPORTER_KEY, RPT_SRC_ORG_KEY"
SR100,INVESTIGATION_KEY
STD_HIV_DATAMART,"CONDITION_KEY, FACILITY_FLD_FOLLOW_UP_KEY, HOSPITAL_KEY, INVESTIGATION_KEY, INVESTIGATOR_CLOSED_KEY, INVESTIGATOR_CURRENT_KEY, INVESTIGATOR_DISP_FL_FUP_KEY, INVESTIGATOR_FL_FUP_KEY, INVESTIGATOR_INIT_FL_FUP_KEY, INVESTIGATOR_INIT_INTRVW_KEY, INVESTIGATOR_INITIAL_KEY, INVESTIGATOR_INTERVIEW_KEY, INVESTIGATOR_SUPER_CASE_KEY, INVESTIGATOR_SUPER_FL_FUP_KEY, INVESTIGATOR_SURV_KEY, ORDERING_FACILITY_KEY, PHYSICIAN_FL_FUP_KEY, PHYSICIAN_KEY, REPORTING_ORG_KEY, REPORTING_PROV_KEY"
SUMM_DATAMART,"INVESTIGATION_KEY, PATIENT_KEY"
SUMMARY_CASE_GROUP,SUMMARY_CASE_SRC_KEY
SUMMARY_REPORT_CASE,"CONDITION_KEY, INVESTIGATION_KEY, LAST_UPDATE_DT_KEY, LDF_GROUP_KEY, NOTIFICATION_SEND_DT_KEY, SUMMARY_CASE_SRC_KEY"
TB_DATAMART,INVESTIGATION_KEY
TB_HIV_DATAMART,"D_TB_HIV_KEY, INVESTIGATION_KEY"
TEMP_UPDATED_LAB_INV_MAP,"INVESTIGATION_KEY, LAB_TEST_KEY"
TREATMENT_EVENT,"CONDITION_KEY, INVESTIGATION_KEY, LDF_GROUP_KEY, MORB_RPT_KEY, PATIENT_KEY, TREATMENT_DT_KEY, TREATMENT_KEY, TREATMENT_PHYSICIAN_KEY, TREATMENT_PROVIDING_ORG_KEY"
VACCINATION_ARCHIVE,"INVESTIGATION_KEY, LDF_GROUP_KEY, PATIENT_KEY, VACCINATION_DT_KEY, VACCINE_GIVEN_BY_KEY, VACCINE_GIVEN_BY_ORG_KEY, VACCINE_MANUFACTURER_ORG_KEY"
VAR_DATAMART,INVESTIGATION_KEY
